,URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
0,37,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,38,83,-0.37190082337272046,0.12710084020262516,13.430769230769231,0.4765177548682703,5.562914794255001,13.430769230769231,416,869,2.660377358490566,7,7.072497123130034
1,38,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,19,24,-0.11627906706327752,0.06677018623172332,16.22222222222222,0.4777397260273973,6.679984779299848,16.22222222222222,279,583,2.6470588235294117,4,7.025728987993139
2,39,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,23,41,-0.2812499956054688,0.08544726290327469,11.694915254237289,0.4608695652173913,4.862313927781873,11.694915254237289,318,687,2.6387596899224808,8,6.8282387190684135
3,40,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,43,78,-0.2892561959565604,0.1046712801862705,13.804878048780488,0.4726148409893993,5.710997155907955,13.804878048780488,535,1130,2.5750452079566,8,6.891150442477876
4,41,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,37,64,-0.267326730026468,0.1230207063056995,12.852941176470589,0.38672768878718533,5.295867546103111,12.852941176470589,338,867,2.353757225433526,35,6.3656286043829295
5,42,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,49,91,-0.2999999978571429,0.0883838383280405,14.34,0.4581589958158996,5.91926359832636,14.34,657,1431,2.5010956902848793,7,6.809224318658281
6,43,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,36,52,-0.18181817975206616,0.11428571413729129,9.209876543209877,0.4008042895442359,3.8442723331016455,9.209876543209877,299,737,2.427027027027027,8,6.466757123473541
8,45,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,39,65,-0.24999999759615388,0.08623548914905846,15.068493150684931,0.48,6.219397260273973,15.068493150684931,528,1098,2.608372093023256,8,7.134790528233151
9,46,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,24,39,-0.23809523431594867,0.05827937089890899,13.539473684210526,0.48104956268221577,5.608209298757097,13.539473684210526,495,1029,2.6278825995807127,3,6.792031098153547
10,47,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,51,47,0.040816326114119124,0.09560975600428316,12.333333333333334,0.4521829521829522,5.114206514206515,12.333333333333334,435,958,2.5267094017094016,3,6.764091858037578
